player_id,player,position,team_name,player_game_count,pass_grade,offense_grade_passing_file,pass_attempts,aimed_passes,completions,accuracy_percent,avg_depth_of_target_x,avg_time_to_throw,big_time_throws,turnover_worthy_plays,sacks_x,scrambles,rec_grade,offense_grade_receiving_file,targets,receptions,yards_x,yards_per_reception,drops,drop_rate,avg_depth_of_target_y,yards_after_catch,rush_grade,offense_grade_rushing_file,rush_attempts,yards_y,yards_after_contact,breakaway_yards,first_downs,fumbles,rush_elusive_mtf,avoided_tackles,def_grade,coverage_grade,pass_rush_grade,run_defense_grade,tackle_grade,tackles,assists,stops,sacks_y,hits,hurries,interceptions,pass_break_ups,missed_tackles,forced_fumbles,pass_grade_pct,rec_grade_pct,rush_grade_pct,def_grade_pct,coverage_grade_pct,pass_rush_grade_pct,run_defense_grade_pct,tackle_grade_pct,role_bucket,class_year,player_name,stars,industry_rating,rank_natl,rank_pos,rank_state,nil_value_usd,profile_url,source,best_score,score_gap,match_status,is_5_star,is_4_star,pff_def_or_off,recruiting_pct,performance_pct,perf_minus_recruit
176007,Kelvon McBride,LB,NC STATE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.9,72.1,50.7,55.2,73.1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,25.4,88.5,4.5,13.6,61.0,LB,2023.0,Kelvon McBride,,85.55,,66.0,31.0,0.0,https://n.rivals.com/content/prospects/2023/kelvon-mcbride-284541,on3_rankings_json,1.6,1000.6,HIGH_CONF,False,False,DEF,45.6,25.4,-20.2
176009,Daemon Fagan,CB,NC STATE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.6,72.4,,60.7,75.1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,86.4,81.7,,41.3,73.5,DB,2023.0,Daemon Fagan,,90.24048913043478,,32.0,62.0,0.0,https://n.rivals.com/content/prospects/2023/daemon-fagan-270247,on3_rankings_json,1.6,1000.6,HIGH_CONF,False,False,DEF,78.4,86.4,8.0
176040,Zyian Moultrie-Goddard,LB,SYRACUSE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.7,51.9,59.8,64.6,52.5,8.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,,,,28.6,26.7,38.1,47.4,21.5,LB,2023.0,Zyian Moultrie-Goddard,,82.03636363636365,,202.0,16.0,0.0,https://n.rivals.com/content/prospects/2023/zyian-moultrie-goddard-259779,on3_rankings_json,1.6,1000.6,HIGH_CONF,False,False,DEF,16.5,28.6,12.1
176060,Aiden Hall,LB,WAKE,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.7,59.2,61.4,83.6,84.1,60.0,23.0,35.0,0.0,2.0,12.0,0.0,0.0,8.0,0.0,,,,77.3,45.5,48.9,94.7,94.5,LB,2023.0,Aiden Hall,,83.53636363636365,,114.0,52.0,0.0,https://n.rivals.com/content/athletes/aiden-hall-227871?view=pv,on3_rankings_json,1.6,1000.6,HIGH_CONF,False,False,DEF,27.0,77.3,50.3
176062,Rushaun Tongue,S,WAKE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.8,65.9,,59.3,56.2,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,55.5,64.4,,24.4,32.3,DB,2023.0,Rushaun Tongue,,86.225,,41.0,10.0,0.0,https://n.rivals.com/content/prospects/2023/rushaun-tongue-250517,on3_rankings_json,1.6,1000.6,HIGH_CONF,False,False,DEF,50.9,55.5,4.6
176063,Travon West,CB,WAKE,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.5,65.7,,56.9,62.6,16.0,9.0,5.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,,,,44.9,61.7,,19.9,45.3,DB,2023.0,Travon West,,85.225,,105.0,25.0,0.0,https://n.rivals.com/content/prospects/2023/travon-west-277407,on3_rankings_json,1.6,1000.6,HIGH_CONF,False,False,DEF,41.6,44.9,3.3
176064,Antonio Robinson,CB,FAU,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.1,,,60.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,38.7,,,32.1,,DB,2023.0,Antonio Robinson,,88.7671195652174,,83.0,5.0,0.0,https://n.rivals.com/content/prospects/2023/antonio-robinson-241648,on3_rankings_json,1.6,1000.6,HIGH_CONF,False,False,DEF,68.5,38.7,-29.8
176145,Jayden Davis,S,GA SOUTHRN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,63.4,60.0,57.0,85.8,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,22.2,53.6,51.2,18.6,97.0,DB,2023.0,Jayden Davis,,88.275,,39.0,53.0,0.0,https://n.rivals.com/content/prospects/2023/jayden-davis-279206,on3_rankings_json,1.6,0.6000000000000001,HIGH_CONF,False,False,DEF,64.5,22.2,-42.3
176174,S'Maje Burrell,LB,N TEXAS,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.2,29.7,50.6,55.6,54.4,8.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,2.6,0.5,4.2,15.0,24.6,LB,2023.0,S'Maje Burrell,,90.17065217391304,186.0,17.0,33.0,0.0,https://n.rivals.com/content/prospects/2023/s-maje-burrell-274425,on3_rankings_json,1.6,1000.6,HIGH_CONF,False,False,DEF,78.1,2.6,-75.5
176184,Warren Roberson,CB,TEXAS,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.9,81.1,60.0,57.7,64.3,12.0,2.0,7.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,,,93.5,95.6,57.2,21.7,48.7,DB,2023.0,Warren Roberson,,90.89266304347828,157.0,13.0,29.0,0.0,https://n.rivals.com/content/prospects/2023/warren-roberson-279375,on3_rankings_json,1.6,1000.6,HIGH_CONF,False,False,DEF,80.7,93.5,12.8
